Key	Surface	Type	Identity	Classification	OwnerIncrement	HelpDestination	Status
xaml.material-detail-video-planner.datagrid.recommendationvideoidealist	Material Detail > Video Planner	DataGrid	RecommendationVideoIdeaList	grid-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagrid.videocomparisonideaslist	Material Detail > Video Planner	DataGrid	VideoComparisonIdeasList	read-only-grid	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagrid.videoplannerlist	Material Detail > Video Planner	DataGrid	VideoPlannerList	read-only-grid	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridcomboboxcolumn.effort	Material Detail > Video Planner	DataGridComboBoxColumn	Effort	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridcomboboxcolumn.score	Material Detail > Video Planner	DataGridComboBoxColumn	Score	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridcomboboxcolumn.series	Material Detail > Video Planner	DataGridComboBoxColumn	Series	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridcomboboxcolumn.status	Material Detail > Video Planner	DataGridComboBoxColumn	Status	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.comparison	Material Detail > Video Planner	DataGridTextColumn	Comparison	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.comparison-idea	Material Detail > Video Planner	DataGridTextColumn	Comparison idea	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.data-reason	Material Detail > Video Planner	DataGridTextColumn	Data reason	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.episode-order	Material Detail > Video Planner	DataGridTextColumn	Episode order	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.group	Material Detail > Video Planner	DataGridTextColumn	Group	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.hook	Material Detail > Video Planner	DataGridTextColumn	Hook	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.hook-angle	Material Detail > Video Planner	DataGridTextColumn	Hook / angle	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.hook-title-angle	Material Detail > Video Planner	DataGridTextColumn	Hook / title angle	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.material	Material Detail > Video Planner	DataGridTextColumn	Material	read-only-column	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.material-2	Material Detail > Video Planner	DataGridTextColumn	Material	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.materials	Material Detail > Video Planner	DataGridTextColumn	Materials	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.notes	Material Detail > Video Planner	DataGridTextColumn	Notes	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.publish-date	Material Detail > Video Planner	DataGridTextColumn	Publish date	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.reason	Material Detail > Video Planner	DataGridTextColumn	Reason	read-only-column	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.reason-2	Material Detail > Video Planner	DataGridTextColumn	Reason	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.score	Material Detail > Video Planner	DataGridTextColumn	Score	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.score-2	Material Detail > Video Planner	DataGridTextColumn	Score	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.source	Material Detail > Video Planner	DataGridTextColumn	Source	read-only-column	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.standout-data	Material Detail > Video Planner	DataGridTextColumn	Standout data	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.status	Material Detail > Video Planner	DataGridTextColumn	Status	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.suggested-title	Material Detail > Video Planner	DataGridTextColumn	Suggested title	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.suggested-title-2	Material Detail > Video Planner	DataGridTextColumn	Suggested title	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.suggested-title-3	Material Detail > Video Planner	DataGridTextColumn	Suggested title	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.suggestion	Material Detail > Video Planner	DataGridTextColumn	Suggestion	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.talking-points	Material Detail > Video Planner	DataGridTextColumn	Talking points	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.talking-points-2	Material Detail > Video Planner	DataGridTextColumn	Talking points	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.talking-points-3	Material Detail > Video Planner	DataGridTextColumn	Talking points	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.target-week	Material Detail > Video Planner	DataGridTextColumn	Target week	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.type	Material Detail > Video Planner	DataGridTextColumn	Type	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.material-detail-video-planner.datagridtextcolumn.winner	Material Detail > Video Planner	DataGridTextColumn	Winner	editable-column-candidate	v50.4.2	material-detail.controls-fields	covered
xaml.materials.button.addnativematerial-click	Materials	Button	AddNativeMaterial_Click	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.archivenativematerial-click	Materials	Button	ArchiveNativeMaterial_Click	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.clearnativematerialfilters	Materials	Button	ClearNativeMaterialFilters	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.deletenativematerial-click	Materials	Button	DeleteNativeMaterial_Click	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.duplicatenativematerial-click	Materials	Button	DuplicateNativeMaterial_Click	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.resetfastmaterialscolumns-click	Materials	Button	ResetFastMaterialsColumns_Click	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.savenativematerialsbutton	Materials	Button	SaveNativeMaterialsButton	action	v50.4.1	materials.controls-fields	covered
xaml.materials.button.unarchivenativematerial-click	Materials	Button	UnarchiveNativeMaterial_Click	action	v50.4.1	materials.controls-fields	covered
xaml.materials.combobox.nativematerialcategoryfilter	Materials	ComboBox	NativeMaterialCategoryFilter	choice	v50.4.1	materials.controls-fields	covered
xaml.materials.combobox.nativematerialtestedfilter	Materials	ComboBox	NativeMaterialTestedFilter	choice	v50.4.1	materials.controls-fields	covered
xaml.materials.textbox.nativematerialsearch	Materials	TextBox	NativeMaterialSearch	input-candidate	v50.4.1	materials.controls-fields	covered
xaml.printers.button.addprinterbutton	Printers	Button	AddPrinterButton	action	v50.4.1	printers.controls-fields	covered
xaml.printers.button.archiveprinterbutton	Printers	Button	ArchivePrinterButton	action	v50.4.1	printers.controls-fields	covered
xaml.printers.button.deleteprinterbutton	Printers	Button	DeletePrinterButton	action	v50.4.1	printers.controls-fields	covered
xaml.printers.button.duplicateprinterbutton	Printers	Button	DuplicatePrinterButton	action	v50.4.1	printers.controls-fields	covered
xaml.printers.button.saveprintersbutton	Printers	Button	SavePrintersButton	action	v50.4.1	printers.controls-fields	covered
xaml.printers.datagrid.printergrid	Printers	DataGrid	PrinterGrid	grid-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridcheckboxcolumn.active	Printers	DataGridCheckBoxColumn	Active	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridcomboboxcolumn.printercurrencycolumn	Printers	DataGridComboBoxColumn	PrinterCurrencyColumn	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.annual-maintenance	Printers	DataGridTextColumn	Annual maintenance	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.buffer-override	Printers	DataGridTextColumn	Buffer override	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.life-years	Printers	DataGridTextColumn	Life (years)	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.manufacturer	Printers	DataGridTextColumn	Manufacturer	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.model	Printers	DataGridTextColumn	Model	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.name	Printers	DataGridTextColumn	Name	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.notes	Printers	DataGridTextColumn	Notes	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.power-w	Printers	DataGridTextColumn	Power (W)	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.printer-id	Printers	DataGridTextColumn	Printer ID	read-only-column	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.purchase-cost	Printers	DataGridTextColumn	Purchase cost	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.upfront-cost	Printers	DataGridTextColumn	Upfront cost	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.printers.datagridtextcolumn.uptime	Printers	DataGridTextColumn	Uptime (%)	editable-column-candidate	v50.4.1	printers.controls-fields	covered
xaml.print-job-quotes.button.deleteprintjobquote	Print Job Quotes	Button	DeletePrintJobQuote	action	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.button.exportprintjobquote	Print Job Quotes	Button	ExportPrintJobQuote	action	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.button.saveprintjobquote	Print Job Quotes	Button	SavePrintJobQuote	action	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.checkbox.quotemanualmaterialcheck	Print Job Quotes	CheckBox	QuoteManualMaterialCheck	choice	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.combobox.quotecurrencyselector	Print Job Quotes	ComboBox	QuoteCurrencySelector	choice	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.combobox.quotemanualcurrencyselector	Print Job Quotes	ComboBox	QuoteManualCurrencySelector	choice	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.combobox.quotematerialselector	Print Job Quotes	ComboBox	QuoteMaterialSelector	choice	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.combobox.quoteprinterselector	Print Job Quotes	ComboBox	QuotePrinterSelector	choice	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagrid.printjobquotehistory	Print Job Quotes	DataGrid	PrintJobQuoteHistory	read-only-grid	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.created-utc	Print Job Quotes	DataGridTextColumn	Created UTC	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.currency	Print Job Quotes	DataGridTextColumn	Currency	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.customer	Print Job Quotes	DataGridTextColumn	Customer	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.final-price	Print Job Quotes	DataGridTextColumn	Final price	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.material-snapshot	Print Job Quotes	DataGridTextColumn	Material snapshot	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.printer-snapshot	Print Job Quotes	DataGridTextColumn	Printer snapshot	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.datagridtextcolumn.quote	Print Job Quotes	DataGridTextColumn	Quote	editable-column-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quoteadditionalcostbox	Print Job Quotes	TextBox	QuoteAdditionalCostBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quoteconsultingminutesbox	Print Job Quotes	TextBox	QuoteConsultingMinutesBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotecustomer	Print Job Quotes	TextBox	QuoteCustomer	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotedescription	Print Job Quotes	TextBox	QuoteDescription	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotedesignminutesbox	Print Job Quotes	TextBox	QuoteDesignMinutesBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotegramsperpartbox	Print Job Quotes	TextBox	QuoteGramsPerPartBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotemanualmaterialcostbox	Print Job Quotes	TextBox	QuoteManualMaterialCostBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotemarginbox	Print Job Quotes	TextBox	QuoteMarginBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotepreparedbybox	Print Job Quotes	TextBox	QuotePreparedByBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quoteprinthoursbox	Print Job Quotes	TextBox	QuotePrintHoursBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quoteprintlaborminutesbox	Print Job Quotes	TextBox	QuotePrintLaborMinutesBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.print-job-quotes.textbox.quotequantitybox	Print Job Quotes	TextBox	QuoteQuantityBox	input-candidate	v50.4.1	print-job-quotes.controls-fields	covered
xaml.purchase-orders.button.addpurchaseorderlinebutton	Purchase Orders	Button	AddPurchaseOrderLineButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.applylandedcostcurrencyoverride	Purchase Orders	Button	ApplyLandedCostCurrencyOverride	action	v53.0.2	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.browsepurchaseinvoice-click	Purchase Orders	Button	BrowsePurchaseInvoice_Click	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.calculatepurchasecostsbutton	Purchase Orders	Button	CalculatePurchaseCostsButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.createinventoryfrompurchaseorderbutton	Purchase Orders	Button	CreateInventoryFromPurchaseOrderButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.creatematerialfrompurchaselinebutton	Purchase Orders	Button	CreateMaterialFromPurchaseLineButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.deletepurchaseorderbutton	Purchase Orders	Button	DeletePurchaseOrderButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.deletepurchaseorderlinebutton	Purchase Orders	Button	DeletePurchaseOrderLineButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.newpurchaseorderbutton	Purchase Orders	Button	NewPurchaseOrderButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.receivepurchaseorderbutton	Purchase Orders	Button	ReceivePurchaseOrderButton	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.button.refreshecbexchangerates	Purchase Orders	Button	RefreshEcbExchangeRates	action	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.combobox.landedcostcurrencyselector	Purchase Orders	ComboBox	LandedCostCurrencySelector	choice	v53.0.2	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagrid.purchaseorderlinesgrid	Purchase Orders	DataGrid	PurchaseOrderLinesGrid	grid-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagrid.purchaseordersgrid	Purchase Orders	DataGrid	PurchaseOrdersGrid	grid-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcheckboxcolumn.allocate	Purchase Orders	DataGridCheckBoxColumn	Allocate	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.category	Purchase Orders	DataGridComboBoxColumn	Category	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.check	Purchase Orders	DataGridComboBoxColumn	Check	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.currency	Purchase Orders	DataGridComboBoxColumn	Currency	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.link-existing-material-optional	Purchase Orders	DataGridComboBoxColumn	Link existing material (optional)	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.shipping-allocation	Purchase Orders	DataGridComboBoxColumn	Shipping allocation	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.tax-treatment	Purchase Orders	DataGridComboBoxColumn	Tax treatment	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridcomboboxcolumn.workflow-stage	Purchase Orders	DataGridComboBoxColumn	Workflow stage	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.1-currency-unit-isk	Purchase Orders	DataGridTextColumn	1 currency unit = ISK	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.allocation-status	Purchase Orders	DataGridTextColumn	Allocation status	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.clearance	Purchase Orders	DataGridTextColumn	Clearance	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.cost-status	Purchase Orders	DataGridTextColumn	Cost status	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.customs	Purchase Orders	DataGridTextColumn	Customs	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.customs-allocated	Purchase Orders	DataGridTextColumn	Customs allocated	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.discount	Purchase Orders	DataGridTextColumn	Discount	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.document	Purchase Orders	DataGridTextColumn	Document	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.expected	Purchase Orders	DataGridTextColumn	Expected	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.fees-allocated	Purchase Orders	DataGridTextColumn	Fees allocated	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.import-vat	Purchase Orders	DataGridTextColumn	Import VAT	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.invoice-total	Purchase Orders	DataGridTextColumn	Invoice total	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.items-total	Purchase Orders	DataGridTextColumn	Items total	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.landed-kg	Purchase Orders	DataGridTextColumn	Landed / kg	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.landed-line	Purchase Orders	DataGridTextColumn	Landed line	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.landed-unit	Purchase Orders	DataGridTextColumn	Landed / unit	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.line-id	Purchase Orders	DataGridTextColumn	Line ID	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.manual-shipping	Purchase Orders	DataGridTextColumn	Manual shipping	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.net-line	Purchase Orders	DataGridTextColumn	Net line	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.notes	Purchase Orders	DataGridTextColumn	Notes	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.notes-2	Purchase Orders	DataGridTextColumn	Notes	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.order	Purchase Orders	DataGridTextColumn	Order #	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.order-date	Purchase Orders	DataGridTextColumn	Order date	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.ordered-item-invoice-description	Purchase Orders	DataGridTextColumn	Ordered item / invoice description	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.other-fees	Purchase Orders	DataGridTextColumn	Other fees	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.po-id	Purchase Orders	DataGridTextColumn	PO ID	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.rate-date	Purchase Orders	DataGridTextColumn	Rate date	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.rate-source	Purchase Orders	DataGridTextColumn	Rate source	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.received	Purchase Orders	DataGridTextColumn	Received	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.received-date	Purchase Orders	DataGridTextColumn	Received date	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.shipping	Purchase Orders	DataGridTextColumn	Shipping	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.shipping-allocated	Purchase Orders	DataGridTextColumn	Shipping allocated	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.sku	Purchase Orders	DataGridTextColumn	SKU	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.storage-location	Purchase Orders	DataGridTextColumn	Storage location	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.supplier	Purchase Orders	DataGridTextColumn	Supplier	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.supplier-vat	Purchase Orders	DataGridTextColumn	Supplier VAT	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.tax-allocated	Purchase Orders	DataGridTextColumn	Tax allocated	read-only-column	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.unit-price	Purchase Orders	DataGridTextColumn	Unit price	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.purchase-orders.datagridtextcolumn.unit-weight-g	Purchase Orders	DataGridTextColumn	Unit weight g	editable-column-candidate	v50.4.1	purchase-orders.controls-fields	covered
xaml.rankings-dashboard.button.exportrankingscsv-click	Rankings Dashboard	Button	ExportRankingsCsv_Click	action	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.button.refreshrankings-click	Rankings Dashboard	Button	RefreshRankings_Click	action	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.button.resetrankingfilters-click	Rankings Dashboard	Button	ResetRankingFilters_Click	action	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.combobox.rankingbasematerialfilter	Rankings Dashboard	ComboBox	RankingBaseMaterialFilter	choice	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.combobox.rankinglimitfilter	Rankings Dashboard	ComboBox	RankingLimitFilter	choice	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.combobox.rankingmanufacturerfilter	Rankings Dashboard	ComboBox	RankingManufacturerFilter	choice	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.combobox.rankingmetricfilter	Rankings Dashboard	ComboBox	RankingMetricFilter	choice	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.combobox.rankingreinforcementfilter	Rankings Dashboard	ComboBox	RankingReinforcementFilter	choice	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagrid.rankingsgrid	Rankings Dashboard	DataGrid	RankingsGrid	read-only-grid	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.anonymous	Rankings Dashboard	DataGridTextColumn	#	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.best-axis	Rankings Dashboard	DataGridTextColumn	Best Axis	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.consistency	Rankings Dashboard	DataGridTextColumn	Consistency	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.impact	Rankings Dashboard	DataGridTextColumn	Impact	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.layer-adhesion	Rankings Dashboard	DataGridTextColumn	Layer Adhesion	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.manufacturer	Rankings Dashboard	DataGridTextColumn	Manufacturer	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.material	Rankings Dashboard	DataGridTextColumn	Material	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.overall	Rankings Dashboard	DataGridTextColumn	Overall	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
xaml.rankings-dashboard.datagridtextcolumn.rank-score	Rankings Dashboard	DataGridTextColumn	Rank Score	editable-column-candidate	v50.4.2	analysis.controls-fields	covered
